[2021-06-24T19:31:50.101] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/59d417f3b4d11c8945d8efd3d5b00998dc03f0107107ef4ddf6f7888c857709225c28602a17416e2d49e2102ece42bcc","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.004s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:31:53.801] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/59d417f3b4d11c8945d8efd3d5b00998dc03f0107107ef4ddf6f7888c857709225c28602a17416e2d49e2102ece42bcc","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.005s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:33:04.652] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.019s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:33:05.375] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.004s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:33:08.753] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/fc4a4d10a6e8369e9db32d5c3d7b653d456db18c8714b89e578f05dd7621c7e7daa579fce0061a5ad224c380e5f95dfd","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.021s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:33:12.711] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/fc4a4d10a6e8369e9db32d5c3d7b653d456db18c8714b89e578f05dd7621c7e7daa579fce0061a5ad224c380e5f95dfd","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.008s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:33:16.279] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/fc4a4d10a6e8369e9db32d5c3d7b653d456db18c8714b89e578f05dd7621c7e7daa579fce0061a5ad224c380e5f95dfd","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.007s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:33:38.243] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/fc4a4d10a6e8369e9db32d5c3d7b653d456db18c8714b89e578f05dd7621c7e7daa579fce0061a5ad224c380e5f95dfd","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.021s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:34:35.698] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.022s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:34:36.312] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
